hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,carrier_avg_delay,route_avg_delay,actual,pred,prob
15,2,0,59.1,2.455,-10.0,0.7460032331226174,7.467465753424658,23.315625,0,1,0.5203747057447229
17,2,0,59.1,3.96,47.0,0.6653047037108527,7.467465753424658,13.932551319648091,0,1,0.6380242665242183
17,2,0,59.1,4.22,5.0,0.6653047037108527,7.467465753424658,23.315625,0,1,0.6839577256588127
17,2,0,59.1,4.22,5.0,0.6653047037108527,7.467465753424658,23.315625,0,1,0.6839577256588127
17,2,0,59.1,4.22,5.0,0.6653047037108527,7.467465753424658,23.315625,0,1,0.6839577256588127
17,2,0,59.1,4.22,5.0,0.6653047037108527,7.467465753424658,23.315625,0,1,0.6839577256588127
18,2,0,59.1,3.87,-8.0,0.5744958801814409,7.467465753424658,9.349693251533742,0,1,0.567174633635238
18,2,0,59.1,3.87,-8.0,0.5744958801814409,7.467465753424658,9.349693251533742,0,1,0.567174633635238
18,2,0,59.1,3.87,-4.0,0.5744958801814409,7.467465753424658,5.629343629343629,0,1,0.5721136201588728
18,2,0,59.1,4.14,21.0,0.5744958801814409,7.467465753424658,13.932551319648091,0,1,0.6395632836110148
19,2,0,59.1,4.245,11.0,0.497106174299088,7.467465753424658,24.17241379310345,0,1,0.8043607517336072
19,2,0,59.1,4.295,12.0,0.497106174299088,7.467465753424658,-13.345238095238097,0,1,0.6074161251094246
19,2,0,59.1,4.325,-4.0,0.497106174299088,7.467465753424658,-9.18032786885246,0,1,0.5236652482927265
20,2,0,59.1,4.49,-4.0,0.6704517625343821,7.467465753424658,8.436936936936936,0,1,0.6998693418691454
20,2,0,59.1,4.49,-4.0,0.6704517625343821,7.467465753424658,8.436936936936936,0,1,0.6998693418691454
20,2,0,59.1,4.49,-4.0,0.6704517625343821,7.467465753424658,8.436936936936936,0,1,0.6998693418691454
20,2,0,59.1,4.49,-4.0,0.6704517625343821,7.467465753424658,8.436936936936936,0,1,0.6998693418691454
20,2,0,59.1,4.49,-4.0,0.6704517625343821,7.467465753424658,8.436936936936936,0,1,0.6998693418691454
20,2,0,59.1,5.885,27.0,0.6704517625343821,7.467465753424658,-2.531150159744409,0,1,0.6986963636772268
20,2,0,59.1,5.885,27.0,0.6704517625343821,7.467465753424658,-2.531150159744409,0,1,0.6986963636772268
20,2,0,59.1,5.885,27.0,0.6704517625343821,7.467465753424658,-2.531150159744409,0,1,0.6986963636772268
20,2,0,59.1,5.885,27.0,0.6704517625343821,7.467465753424658,-2.531150159744409,0,1,0.6986963636772268
20,2,0,59.1,5.885,27.0,0.6704517625343821,7.467465753424658,-2.531150159744409,0,1,0.6986963636772268
20,2,0,59.1,7.54,97.0,0.6704517625343821,7.467465753424658,15.70668485675307,0,1,0.7845493751956932
21,2,0,59.1,9.135,76.0,0.5123635272402645,7.467465753424658,-11.278901734104046,0,1,0.7037766654236355
21,2,0,59.1,9.135,76.0,0.5123635272402645,7.467465753424658,-11.278901734104046,0,1,0.7037766654236355
21,2,0,59.1,9.975,185.0,0.5123635272402645,7.467465753424658,17.70921985815603,0,1,0.7774851187393833
22,2,0,59.1,13.465,186.0,0.4097899978284998,7.467465753424658,-11.278901734104046,0,1,0.806924307799975
22,2,0,59.1,14.59,194.0,0.4097899978284998,7.467465753424658,5.629343629343629,0,1,0.8455682128080526
22,2,0,59.1,14.59,194.0,0.4097899978284998,7.467465753424658,5.629343629343629,0,1,0.8455682128080526
22,2,0,59.1,14.59,194.0,0.4097899978284998,7.467465753424658,5.629343629343629,0,1,0.8455682128080526
22,2,0,59.1,15.45,160.0,0.4097899978284998,7.467465753424658,8.666666666666666,0,1,0.8889678008486438
22,2,0,59.1,15.45,160.0,0.4097899978284998,7.467465753424658,8.666666666666666,0,1,0.8889678008486438
22,2,0,59.1,15.45,160.0,0.4097899978284998,7.467465753424658,8.666666666666666,0,1,0.8889678008486438
15,3,0,28.9,17.875,-3.0,0.7460032331226174,7.467465753424658,14.782352941176471,0,1,0.6325518885073028
15,3,0,28.9,17.825,-7.0,0.7460032331226174,7.467465753424658,13.290697674418604,0,1,0.7097101654921762
15,3,0,28.9,17.825,-7.0,0.7460032331226174,7.467465753424658,13.290697674418604,0,1,0.7097101654921762
15,3,0,28.9,17.825,-7.0,0.7460032331226174,7.467465753424658,13.290697674418604,0,1,0.7097101654921762
17,3,0,28.9,17.9,28.0,0.6989444095932056,7.467465753424658,13.932551319648091,0,1,0.6023431215267198
17,3,0,28.9,17.47,-8.0,0.6989444095932056,7.467465753424658,14.782352941176471,0,1,0.7010869934772209
17,3,0,28.9,17.47,-8.0,0.6989444095932056,7.467465753424658,14.782352941176471,0,1,0.7010869934772209
17,3,0,28.9,17.47,-8.0,0.6989444095932056,7.467465753424658,14.782352941176471,0,1,0.7010869934772209
17,3,0,28.9,17.47,-8.0,0.6989444095932056,7.467465753424658,14.782352941176471,0,1,0.7010869934772209
17,3,0,28.9,17.47,-8.0,0.6989444095932056,7.467465753424658,14.782352941176471,0,1,0.7010869934772209
17,3,0,28.9,17.575,-1.0,0.6989444095932056,7.467465753424658,9.573684210526316,0,1,0.506744949910369
17,3,0,28.9,17.575,-1.0,0.6989444095932056,7.467465753424658,9.573684210526316,0,1,0.506744949910369
17,3,0,28.9,17.575,-1.0,0.6989444095932056,7.467465753424658,9.573684210526316,0,1,0.506744949910369
17,3,0,28.9,17.575,-1.0,0.6989444095932056,7.467465753424658,9.573684210526316,0,1,0.506744949910369
17,3,0,28.9,17.575,-1.0,0.6989444095932056,7.467465753424658,9.573684210526316,0,1,0.506744949910369
17,3,0,28.9,17.7,3.0,0.6989444095932056,7.467465753424658,23.315625,0,1,0.6821156382759779
17,3,0,28.9,17.7,3.0,0.6989444095932056,7.467465753424658,23.315625,0,1,0.6821156382759779
17,3,0,28.9,17.7,3.0,0.6989444095932056,7.467465753424658,23.315625,0,1,0.6821156382759779
17,3,0,28.9,17.7,3.0,0.6989444095932056,7.467465753424658,23.315625,0,1,0.6821156382759779
17,3,0,28.9,17.7,3.0,0.6989444095932056,7.467465753424658,23.315625,0,1,0.6821156382759779
18,3,0,28.9,17.585,-7.0,0.5744958801814409,7.467465753424658,9.349693251533742,0,1,0.5557451265314892
18,3,0,28.9,17.585,-7.0,0.5744958801814409,7.467465753424658,9.349693251533742,0,1,0.5557451265314892
18,3,0,28.9,17.585,-7.0,0.5744958801814409,7.467465753424658,9.349693251533742,0,1,0.5557451265314892
18,3,0,28.9,17.175,-3.0,0.5744958801814409,7.467465753424658,13.932551319648091,0,1,0.708199910839867
19,3,0,28.9,17.19,3.0,0.5794591154755586,7.467465753424658,24.17241379310345,0,1,0.7401650786215429
20,3,0,28.9,15.98,-2.0,0.7292752919461468,7.467465753424658,8.436936936936936,0,1,0.6244481190272083
20,3,0,28.9,15.98,-2.0,0.7292752919461468,7.467465753424658,8.436936936936936,0,1,0.6244481190272083
20,3,0,28.9,15.98,-2.0,0.7292752919461468,7.467465753424658,8.436936936936936,0,1,0.6244481190272083
20,3,0,28.9,15.98,-2.0,0.7292752919461468,7.467465753424658,8.436936936936936,0,1,0.6244481190272083
20,3,0,28.9,15.98,-2.0,0.7292752919461468,7.467465753424658,8.436936936936936,0,1,0.6244481190272083
20,3,0,28.9,15.93,4.0,0.7292752919461468,7.467465753424658,9.858288770053475,0,1,0.6371959317852263
20,3,0,28.9,15.93,4.0,0.7292752919461468,7.467465753424658,9.858288770053475,0,1,0.6371959317852263
20,3,0,28.9,15.93,4.0,0.7292752919461468,7.467465753424658,9.858288770053475,0,1,0.6371959317852263
20,3,0,28.9,15.93,4.0,0.7292752919461468,7.467465753424658,9.858288770053475,0,1,0.6371959317852263
20,3,0,28.9,15.93,4.0,0.7292752919461468,7.467465753424658,9.858288770053475,0,1,0.6371959317852263
20,3,0,28.9,16.615,10.0,0.7292752919461468,7.467465753424658,2.127891156462585,0,1,0.6317057067488846
20,3,0,28.9,16.64,-5.0,0.7292752919461468,7.467465753424658,15.70668485675307,0,1,0.7542614916033467
