is_delayed,delay_prob,uncertainty,predicted_congestion,is_anomaly,buffer_minutes,risk,risk_level,action,buffer_conservative,buffer_balanced,buffer_aggressive
0,0.13589517319808467,0.054609979803139204,0.3533275,0,-6.223638,0.16040670208503816,low,Safe — proceed normally,-7.5,-6.2,-5.0
0,0.1874425611186881,0.05179142439870097,0.3533275,0,-6.5210156,0.18303931556842207,low,Safe — proceed normally,-7.8,-6.5,-5.2
1,0.3228059659331856,0.05367766074468075,0.20045651,1,-9.865719,0.30611234555751143,medium,Be careful — allow extra buffer,-11.8,-9.9,-7.9
1,0.4650749766582291,0.0638113658147364,0.20353548,1,-9.988679,0.37292988323100207,medium,Be careful — allow extra buffer,-12.0,-10.0,-8.0
0,0.1400769483110417,0.06476699889756318,0.45930982,0,-6.5473146,0.1908154806095998,low,Safe — proceed normally,-7.9,-6.5,-5.2
0,0.07060851344634361,0.06815757672003604,0.44633925,0,-6.578175,0.15699015879758704,low,Safe — proceed normally,-7.9,-6.6,-5.3
0,0.06688374888570649,0.07138798023140862,0.5871295,0,0.3592187,0.1911576514664042,low,Safe — proceed normally,0.4,0.4,0.3
0,0.06688374888570649,0.07439455332594973,0.5871295,0,0.3592187,0.19175896608531243,low,Safe — proceed normally,0.4,0.4,0.3
0,0.06688374888570649,0.07716479271803668,0.5871295,0,0.3592187,0.19231301396372982,low,Safe — proceed normally,0.4,0.4,0.3
0,0.06688374888570649,0.07954853575102334,0.5871295,0,0.3592187,0.19278976257032715,low,Safe — proceed normally,0.4,0.4,0.3
0,0.1059655170381963,0.08056694430512314,0.61064786,0,0.18585613,0.2164598358255076,low,Safe — proceed normally,0.2,0.2,0.1
0,0.1059655170381963,0.08147671148945884,0.61064786,0,0.18585613,0.2166417892623747,low,Safe — proceed normally,0.2,0.2,0.1
0,0.1059655170381963,0.08228144105171555,0.6141737,0,0.18585613,0.21768419846408693,low,Safe — proceed normally,0.2,0.2,0.1
0,0.1059655170381963,0.08324248148952722,0.6464858,0,0.18585613,0.22595443034296242,low,Safe — proceed normally,0.2,0.2,0.1
0,0.09656900086457058,0.08434423277144538,0.6464858,0,0.18585613,0.2219463483212145,low,Safe — proceed normally,0.2,0.2,0.1
0,0.09656900086457058,0.08536600618456454,0.6774369,0,0.18585613,0.22988847368045118,low,Safe — proceed normally,0.2,0.2,0.1
0,0.09656900086457058,0.08631064218757922,0.6774369,0,0.18585613,0.2300774008810541,low,Safe — proceed normally,0.2,0.2,0.1
0,0.09656900086457058,0.08727196545486218,0.67692226,0,0.18585613,0.23014100890876302,low,Safe — proceed normally,0.2,0.2,0.1
1,0.20750263797168636,0.08732415299928607,0.67406785,0,0.09545114,0.2793579814074377,low,Safe — proceed normally,0.1,0.1,0.1
1,0.20750263797168636,0.08737458409278738,0.67592347,0,0.09545114,0.27983197057642484,low,Safe — proceed normally,0.1,0.1,0.1
1,0.20750263797168636,0.08742326177505169,0.68571645,0,0.09545114,0.2822899519958657,low,Safe — proceed normally,0.1,0.1,0.1
1,0.20750263797168636,0.0874422653873892,0.68571645,0,0.09545114,0.28229375271833324,low,Safe — proceed normally,0.1,0.1,0.1
0,0.07141165672442246,0.08892871734261677,0.6821958,0,0.09545114,0.22046993465987297,low,Safe — proceed normally,0.1,0.1,0.1
0,0.12802129864011932,0.08924555386484266,0.68430233,0,-0.07910381,0.24653427766529468,low,Safe — proceed normally,-0.1,-0.1,-0.1
0,0.12802129864011932,0.08953566764425523,0.6594006,0,-0.07910381,0.24036686349528913,low,Safe — proceed normally,-0.1,-0.1,-0.1
0,0.12802129864011932,0.08932050300187633,0.662664,0,-0.07910381,0.24113968404333772,low,Safe — proceed normally,-0.1,-0.1,-0.1
0,0.12802129864011932,0.08937473132358809,0.662664,0,-0.07910381,0.24115052970768008,low,Safe — proceed normally,-0.1,-0.1,-0.1
0,0.08793846108028242,0.09025411297337708,0.662664,0,-0.1687108,0.22328912913571125,low,Safe — proceed normally,-0.2,-0.2,-0.1
0,0.08793846108028242,0.09109762347945738,0.662664,0,-0.1687108,0.2234578312369273,low,Safe — proceed normally,-0.2,-0.2,-0.1
0,0.08793846108028242,0.09189347406161302,0.662664,0,-0.1687108,0.22361700135335844,low,Safe — proceed normally,-0.2,-0.2,-0.1
0,0.08793846108028242,0.09262606423421377,0.662664,0,-0.1687108,0.22376351938787858,low,Safe — proceed normally,-0.2,-0.2,-0.1
0,0.2151850856471487,0.09281410853990964,0.662664,0,-0.1687108,0.2810621093041076,low,Safe — proceed normally,-0.2,-0.2,-0.1
0,0.2151850856471487,0.09241216958976897,0.662664,0,-0.1687108,0.28098172151407946,low,Safe — proceed normally,-0.2,-0.2,-0.1
0,0.2151850856471487,0.09200438671852353,0.662664,0,-0.1687108,0.2809001649398304,low,Safe — proceed normally,-0.2,-0.2,-0.1
0,0.2151850856471487,0.08761539592365566,0.662664,0,-0.1687108,0.2800223667808568,low,Safe — proceed normally,-0.2,-0.2,-0.1
