hour,day_of_week,is_weekend,weather_severity,rolling_origin_delay,prev_delay,congestion_score,carrier_avg_delay,route_avg_delay,actual,pred,prob
14,0,0,4.85,15.165,-3.0,0.6602941176470588,11.401605024424285,9.573684210526316,1,0,0.23981677712998042
14,0,0,4.85,15.69,59.0,0.6602941176470588,11.401605024424285,-0.7538461538461538,1,0,0.16514296613567164
14,0,0,4.85,15.69,59.0,0.6602941176470588,11.401605024424285,-0.7538461538461538,1,0,0.16514296613567164
14,0,0,4.85,15.69,59.0,0.6602941176470588,11.401605024424285,-0.7538461538461538,1,0,0.16514296613567164
14,0,0,4.85,15.69,59.0,0.6602941176470588,11.401605024424285,-0.7538461538461538,1,0,0.16514296613567164
14,0,0,4.85,15.69,59.0,0.6602941176470588,11.401605024424285,-0.7538461538461538,1,0,0.16514296613567164
14,0,0,4.85,15.69,59.0,0.6602941176470588,11.401605024424285,-0.7538461538461538,1,0,0.16514296613567164
15,0,0,4.85,15.925,1.0,0.7661764705882352,11.401605024424285,1.95625,1,0,0.20224877943848188
15,0,0,4.85,16.065,18.0,0.7661764705882352,11.401605024424285,3.555555555555556,1,0,0.20962852579997587
16,0,0,4.85,16.715,8.0,0.6939338235294118,11.401605024424285,-0.7538461538461538,1,0,0.16254046990500923
16,0,0,4.85,22.09,3.0,0.6939338235294118,0.5218480378513777,-13.345238095238097,1,0,0.09131795255873976
16,0,0,4.85,22.09,3.0,0.6939338235294118,0.5218480378513777,-13.345238095238097,1,0,0.09131795255873976
16,0,0,4.85,22.09,3.0,0.6939338235294118,0.5218480378513777,-13.345238095238097,1,0,0.09131795255873976
16,0,0,4.85,22.09,3.0,0.6939338235294118,0.5218480378513777,-13.345238095238097,1,0,0.09131795255873976
16,0,0,4.85,22.36,1074.0,0.6939338235294118,0.5218480378513777,14.142857142857142,1,0,0.19285378831325814
16,0,0,4.85,22.36,1074.0,0.6939338235294118,0.5218480378513777,14.142857142857142,1,0,0.19285378831325814
16,0,0,4.85,22.36,1074.0,0.6939338235294118,0.5218480378513777,14.142857142857142,1,0,0.19285378831325814
16,0,0,4.85,22.36,1074.0,0.6939338235294118,0.5218480378513777,14.142857142857142,1,0,0.19285378831325814
17,0,0,4.85,20.945,-2.0,0.6737132352941176,0.5218480378513777,-14.958015267175572,1,0,0.17972416564201865
17,0,0,4.85,21.75,33.0,0.6737132352941176,11.401605024424285,11.980861244019138,1,0,0.16713426785782337
19,0,0,4.85,22.38,11.0,0.7931985294117647,11.401605024424285,1.95625,1,0,0.2650986661225147
19,0,0,4.85,22.38,11.0,0.7931985294117647,11.401605024424285,1.95625,1,0,0.2650986661225147
19,0,0,4.85,22.565,0.0,0.7931985294117647,0.5218480378513777,-2.531150159744409,1,0,0.26591965468259415
19,0,0,4.85,22.83,-3.0,0.7931985294117647,11.401605024424285,14.67871485943775,1,0,0.1703040715617952
19,0,0,4.85,22.83,-3.0,0.7931985294117647,11.401605024424285,14.67871485943775,1,0,0.1703040715617952
19,0,0,4.85,23.82,20.0,0.7931985294117647,0.5218480378513777,14.782352941176471,1,0,0.25731961127989
19,0,0,4.85,23.82,20.0,0.7931985294117647,0.5218480378513777,14.782352941176471,1,0,0.25731961127989
19,0,0,4.85,23.82,20.0,0.7931985294117647,0.5218480378513777,14.782352941176471,1,0,0.25731961127989
21,0,0,4.85,23.945,-6.0,0.58125,11.401605024424285,9.621160409556314,1,0,0.17823443897434404
21,0,0,4.85,23.945,-6.0,0.58125,11.401605024424285,9.621160409556314,1,0,0.17823443897434404
21,0,0,4.85,23.945,-9.0,0.58125,0.5218480378513777,-2.531150159744409,1,0,0.14995174383683293
21,0,0,4.85,24.82,-3.0,0.58125,11.401605024424285,9.573684210526316,1,0,0.12544440063054416
7,1,0,9.9,24.87,0.0,0.7158088235294118,0.5218480378513777,-2.531150159744409,1,0,0.06102657420854219
7,1,0,9.9,24.87,0.0,0.7158088235294118,0.5218480378513777,-2.531150159744409,1,0,0.06102657420854219
7,1,0,9.9,24.87,0.0,0.7158088235294118,0.5218480378513777,-2.531150159744409,1,0,0.06102657420854219
