run,gate,destination,terminal,walking_speed,congestion,stay_minutes,gate_change,trip_time,buffer,safe
876,GATE_D2,RESTROOM_T7,7,1.54,0.82,9,False,10.53,35,True
877,GATE_D1,SHAKE_SHACK_T7,7,1.74,1.15,13,False,19.98,35,True
878,GATE_A1,STARBUCKS_T8,8,1.13,0.93,18,False,26.27,35,True
879,GATE_D2,SHAKE_SHACK_T7,7,1.16,1.31,13,True,21.37,35,True
880,GATE_D2,RESTROOM_T7,7,1.31,0.82,18,False,19.8,35,True
881,GATE_B1,MC_DONALDS_T4,4,0.85,0.92,10,False,24.66,35,True
882,GATE_A1,RESTROOM_T8,8,1.09,1.38,7,False,11.71,35,True
883,GATE_B3,RESTROOM_T4,4,1.42,1.43,6,False,8.85,35,True
884,GATE_D1,SHAKE_SHACK_T7,7,1.38,1.09,16,False,24.36,35,True
885,GATE_A2,STARBUCKS_T8,8,1.15,1.14,19,True,26.78,35,True
886,GATE_B3,STARBUCKS_T4,4,1.38,1.34,15,False,19.07,35,True
887,GATE_B1,STARBUCKS_T4,4,1.48,1.43,9,False,16.52,35,True
888,GATE_B1,RESTROOM_T4,4,1.13,0.9,15,False,18.08,35,True
889,GATE_C2,DUNKIN_T5,5,1.49,1.08,12,False,18.47,35,True
890,GATE_C1,DUNKIN_T5,5,1.31,0.93,18,False,26.44,35,True
891,GATE_D1,RESTROOM_T7,7,1.5,1.02,13,False,16.74,35,True
892,GATE_C1,STARBUCKS_T5,5,1.33,0.92,15,False,21.24,35,True
893,GATE_C2,DUNKIN_T5,5,1.29,1.48,15,False,25.2,35,True
894,GATE_C2,RESTROOM_T5,5,1.46,1.35,10,False,12.63,35,True
895,GATE_B3,STARBUCKS_T4,4,1.74,1.19,15,False,17.89,35,True
896,GATE_A1,RESTROOM_T8,8,1.23,1.01,12,False,15.04,35,True
897,GATE_C2,DUNKIN_T5,5,1.76,1.22,11,False,17.18,35,True
898,GATE_D1,RESTROOM_T7,7,1.37,0.85,14,False,17.43,35,True
899,GATE_D2,RESTROOM_T7,7,1.57,1.43,16,False,18.62,35,True
900,GATE_D1,RESTROOM_T7,7,0.96,0.99,20,False,25.68,35,True
901,GATE_B2,MC_DONALDS_T4,4,1.47,0.9,5,False,11.73,35,True
902,GATE_D1,RESTROOM_T7,7,1.45,1.03,19,False,22.93,35,True
903,GATE_C1,RESTROOM_T5,5,1.3,1.18,16,False,20.37,35,True
904,GATE_A3,RESTROOM_T8,8,1.28,1.09,6,False,7.8,35,True
905,GATE_C3,RESTROOM_T5,5,1.33,1.11,19,False,21.79,35,True
906,GATE_B1,RESTROOM_T4,4,1.45,1.05,7,False,9.82,35,True
